2016-01-28 11:54:41,034 - root - ERROR - no pending results
2016-01-28 11:56:20,685 - root - INFO - record: <WorkRequest id=140071304312088 args=['\xe6\x88\x90\xe9\x83\xbd', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:20,786 - root - INFO - record: <WorkRequest id=140071304314104 args=['\xe5\xa4\xa7\xe8\xbf\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,226 - root - INFO - record: <WorkRequest id=140071304312520 args=['\xe8\xa5\xbf\xe5\xae\x89', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,546 - root - INFO - record: <WorkRequest id=140071304337240 args=['\xe5\xa4\xaa\xe5\x8e\x9f', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,623 - root - INFO - record: <WorkRequest id=140071304314824 args=['\xe5\xae\x81\xe6\xb3\xa2', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,636 - root - INFO - record: <WorkRequest id=140071304311512 args=['\xe4\xb8\x8a\xe6\xb5\xb7', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,636 - root - INFO - record: <WorkRequest id=140071304336088 args=['\xe5\x8d\x97\xe6\x98\x8c', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,637 - root - INFO - record: <WorkRequest id=140071304337096 args=['\xe9\x95\xbf\xe6\x98\xa5', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,639 - root - INFO - record: <WorkRequest id=140071304311368 args=['\xe5\x8c\x97\xe4\xba\xac', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,640 - root - INFO - record: <WorkRequest id=140071304335944 args=['\xe6\x98\x86\xe6\x98\x8e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,640 - root - INFO - record: <WorkRequest id=140071304312808 args=['\xe9\x95\xbf\xe6\xb2\x99', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,640 - root - INFO - record: <WorkRequest id=140071304336520 args=['\xe6\xb5\xb7\xe5\x8f\xa3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,641 - root - INFO - record: <WorkRequest id=140071304313816 args=['\xe7\xa6\x8f\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,641 - root - INFO - record: <WorkRequest id=140071304313672 args=['\xe5\x90\x88\xe8\x82\xa5', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,641 - root - INFO - record: <WorkRequest id=140071304336808 args=['\xe6\x83\xa0\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,641 - root - INFO - record: <WorkRequest id=140071304312232 args=['\xe5\x8d\x97\xe4\xba\xac', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,641 - root - INFO - record: <WorkRequest id=140071304311944 args=['\xe6\x9d\xad\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,641 - root - INFO - record: <WorkRequest id=140071304312664 args=['\xe5\x8e\xa6\xe9\x97\xa8', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,641 - root - INFO - record: <WorkRequest id=140071304336232 args=['\xe5\x8d\x97\xe5\xae\x81', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071300016896 args=['\xe6\x98\x86\xe5\xb1\xb1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071299532488 args=['\xe7\x83\x9f\xe5\x8f\xb0', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071304313528 args=['\xe9\x9d\x92\xe5\xb2\x9b', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071304312952 args=['\xe8\x8b\x8f\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071304336664 args=['\xe4\xb8\xad\xe5\xb1\xb1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071304335512 args=['\xe5\xb8\xb8\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071304314536 args=['\xe4\xbd\x9b\xe5\xb1\xb1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,642 - root - INFO - record: <WorkRequest id=140071304313960 args=['\xe6\xb5\x8e\xe5\x8d\x97', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304314680 args=['\xe4\xb8\x9c\xe8\x8e\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304314248 args=['\xe7\x8f\xa0\xe6\xb5\xb7', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304336952 args=['\xe8\xb4\xb5\xe9\x98\xb3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304313240 args=['\xe9\x87\x8d\xe5\xba\x86', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304311800 args=['\xe5\xb9\xbf\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304467808 args=['\xe6\xb3\xb0\xe5\xae\x89', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304312376 args=['\xe6\xad\xa6\xe6\xb1\x89', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,643 - root - INFO - record: <WorkRequest id=140071304336376 args=['\xe5\x93\x88\xe5\xb0\x94\xe6\xbb\xa8', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,644 - root - INFO - record: <WorkRequest id=140071304335656 args=['\xe6\xb2\x88\xe9\x98\xb3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,644 - root - INFO - record: <WorkRequest id=140071299532632 args=['\xe5\x85\xb0\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,644 - root - INFO - record: <WorkRequest id=140071304313384 args=['\xe9\x83\x91\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,644 - root - INFO - record: <WorkRequest id=140071304363472 args=['\xe5\x98\x89\xe5\x85\xb4', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,644 - root - INFO - record: <WorkRequest id=140071299532776 args=['\xe6\xb3\x89\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,644 - root - INFO - record: <WorkRequest id=140071304311656 args=['\xe6\xb7\xb1\xe5\x9c\xb3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,644 - root - INFO - record: <WorkRequest id=140071304314392 args=['\xe6\x97\xa0\xe9\x94\xa1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,645 - root - INFO - record: <WorkRequest id=140071304313096 args=['\xe5\xa4\xa9\xe6\xb4\xa5', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,645 - root - INFO - record: <WorkRequest id=140071304335800 args=['\xe7\x9f\xb3\xe5\xae\xb6\xe5\xba\x84', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:21,645 - root - ERROR - no pending results
2016-01-28 11:56:47,034 - root - INFO - record: <WorkRequest id=140473220977728 args=['\xe5\xb9\xbf\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,312 - root - INFO - record: <WorkRequest id=140473220978304 args=['\xe6\xad\xa6\xe6\xb1\x89', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,795 - root - INFO - record: <WorkRequest id=140473220980176 args=['\xe7\x8f\xa0\xe6\xb5\xb7', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,895 - root - INFO - record: <WorkRequest id=140473220979600 args=['\xe5\x90\x88\xe8\x82\xa5', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,937 - root - INFO - record: <WorkRequest id=140473220977872 args=['\xe6\x9d\xad\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,938 - root - INFO - record: <WorkRequest id=140473220978016 args=['\xe6\x88\x90\xe9\x83\xbd', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,938 - root - INFO - record: <WorkRequest id=140473221052320 args=['\xe6\xb5\xb7\xe5\x8f\xa3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,938 - root - INFO - record: <WorkRequest id=140473214484280 args=['\xe9\x95\xbf\xe6\x98\xa5', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,939 - root - INFO - record: <WorkRequest id=140473220978736 args=['\xe9\x95\xbf\xe6\xb2\x99', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,939 - root - INFO - record: <WorkRequest id=140473220978592 args=['\xe5\x8e\xa6\xe9\x97\xa8', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,940 - root - INFO - record: <WorkRequest id=140473220979456 args=['\xe9\x9d\x92\xe5\xb2\x9b', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,940 - root - INFO - record: <WorkRequest id=140473221001296 args=['\xe5\xae\x81\xe6\xb3\xa2', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,940 - root - INFO - record: <WorkRequest id=140473220977296 args=['\xe5\x8c\x97\xe4\xba\xac', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,940 - root - INFO - record: <WorkRequest id=140473214484136 args=['\xe8\xb4\xb5\xe9\x98\xb3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,940 - root - INFO - record: <WorkRequest id=140473214483992 args=['\xe6\x83\xa0\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,941 - root - INFO - record: <WorkRequest id=140473220977440 args=['\xe4\xb8\x8a\xe6\xb5\xb7', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,941 - root - INFO - record: <WorkRequest id=140473220980464 args=['\xe4\xbd\x9b\xe5\xb1\xb1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,941 - root - INFO - record: <WorkRequest id=140473220978448 args=['\xe8\xa5\xbf\xe5\xae\x89', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,942 - root - INFO - record: <WorkRequest id=140473221002232 args=['\xe6\x98\x86\xe6\x98\x8e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,942 - root - INFO - record: <WorkRequest id=140473220980320 args=['\xe6\x97\xa0\xe9\x94\xa1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,942 - root - INFO - record: <WorkRequest id=140473221028896 args=['\xe5\x93\x88\xe5\xb0\x94\xe6\xbb\xa8', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,942 - root - INFO - record: <WorkRequest id=140473221002592 args=['\xe5\x8d\x97\xe6\x98\x8c', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,943 - root - INFO - record: <WorkRequest id=140473221001440 args=['\xe5\xb8\xb8\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,943 - root - INFO - record: <WorkRequest id=140473220979888 args=['\xe6\xb5\x8e\xe5\x8d\x97', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,943 - root - INFO - record: <WorkRequest id=140473214497712 args=['\xe5\x98\x89\xe5\x85\xb4', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,943 - root - INFO - record: <WorkRequest id=140473220979744 args=['\xe7\xa6\x8f\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,943 - root - INFO - record: <WorkRequest id=140473214499008 args=['\xe6\xb3\x89\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,943 - root - INFO - record: <WorkRequest id=140473220979168 args=['\xe9\x87\x8d\xe5\xba\x86', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,944 - root - INFO - record: <WorkRequest id=140473214497784 args=['\xe6\xb3\xb0\xe5\xae\x89', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,944 - root - INFO - record: <WorkRequest id=140473220978160 args=['\xe5\x8d\x97\xe4\xba\xac', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,944 - root - INFO - record: <WorkRequest id=140473214498144 args=['\xe6\x98\x86\xe5\xb1\xb1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,944 - root - INFO - record: <WorkRequest id=140473220977584 args=['\xe6\xb7\xb1\xe5\x9c\xb3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,945 - root - INFO - record: <WorkRequest id=140473220980608 args=['\xe4\xb8\x9c\xe8\x8e\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,945 - root - INFO - record: <WorkRequest id=140473214484424 args=['\xe5\xa4\xaa\xe5\x8e\x9f', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,945 - root - INFO - record: <WorkRequest id=140473220978880 args=['\xe8\x8b\x8f\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,946 - root - INFO - record: <WorkRequest id=140473214498864 args=['\xe5\x85\xb0\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,946 - root - INFO - record: <WorkRequest id=140473220980032 args=['\xe5\xa4\xa7\xe8\xbf\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,946 - root - INFO - record: <WorkRequest id=140473220979024 args=['\xe5\xa4\xa9\xe6\xb4\xa5', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,946 - root - INFO - record: <WorkRequest id=140473214341632 args=['\xe4\xb8\xad\xe5\xb1\xb1', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,946 - root - INFO - record: <WorkRequest id=140473221027456 args=['\xe5\x8d\x97\xe5\xae\x81', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,947 - root - INFO - record: <WorkRequest id=140473214498720 args=['\xe7\x83\x9f\xe5\x8f\xb0', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,947 - root - INFO - record: <WorkRequest id=140473221001728 args=['\xe7\x9f\xb3\xe5\xae\xb6\xe5\xba\x84', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,947 - root - INFO - record: <WorkRequest id=140473220979312 args=['\xe9\x83\x91\xe5\xb7\x9e', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,947 - root - INFO - record: <WorkRequest id=140473221001584 args=['\xe6\xb2\x88\xe9\x98\xb3', 'shell'] kwargs={} exception=False>:None
2016-01-28 11:56:47,947 - root - ERROR - no pending results
