company1
orderBy	50
leaderName	暂没有填写
calcScore	False
companySize	15-50人
deliverCount	0
countAdjusted	False
flowScore	120
workYear	1-3年
education	大专
financeStage	初创型(不需要融资)
pvScore	10.1516071264
city	昆明
companyLogo	i/image/M00/00/56/Cgp3O1ZCprOAKp8kAAFJpECcNHA756.png
createTimeSort	1453084847000
companyId	67804
industryField	移动互联网
companyLabelList	技能培训,节日礼物,股票期权,绩效奖金
adjustScore	0
score	1034
adWord	0
formatCreateTime	2天前发布
showOrder	0
salary	6k-12k
positionName	Python开发工程师
companyName	昆明俊云科技有限公司
jobNature	全职
positonTypesMap	None
totalCount	0
positionFirstType	技术
relScore	809
createTime	2016-01-18 10:40:47
positionId	991482
randomScore	0
companyShortName	俊云科技有限公司
showCount	56
haveDeliver	False
hrScore	55
plus	否
positionType	后端开发
searchScore	0.0
positionAdvantage	带薪旅游、五险一金、福利优厚、工作餐
imstate	disabled
